2018-06-25 08:36:26 INFO run.py:213 GNS3 server version 2.1.8
2018-06-25 08:36:26 INFO run.py:215 Copyright (c) 2007-2018 GNS3 Technologies Inc.
2018-06-25 08:36:26 INFO run.py:218 Config file /home/dsiun/.config/GNS3/gns3_server.conf loaded
2018-06-25 08:36:26 WARNING run.py:224 Local mode is enabled. Beware, clients will have full control on your filesystem
2018-06-25 08:36:26 INFO run.py:232 Running with Python 3.5.3 and has PID 14594
2018-06-25 08:36:26 INFO run.py:79 Current locale is fr_FR.UTF-8
2018-06-25 08:36:26 INFO web_server.py:275 Starting server on 127.0.0.1:3080
2018-06-25 08:36:26 INFO __init__.py:65 Load controller configuration file /home/dsiun/.config/GNS3/gns3_controller.conf
2018-06-25 08:36:26 INFO __init__.py:170 Start controller
2018-06-25 08:36:26 INFO compute.py:79 Create compute local
2018-06-25 08:36:26 INFO compute.py:409 Connecting to compute 'local'
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/version HTTP/1.1" 200 225 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/computes HTTP/1.1" 200 559 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/appliances/templates HTTP/1.1" 200 508050 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/appliances HTTP/1.1" 200 2557 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/appliances/templates HTTP/1.1" 200 508050 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/appliances HTTP/1.1" 200 2557 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/gns3vm HTTP/1.1" 200 328 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/projects HTTP/1.1" 200 182 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/version HTTP/1.1" 200 225 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/symbols/fortinet.svg/raw HTTP/1.1" 200 18842 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/symbols/:/symbols/multilayer_switch.svg/raw HTTP/1.1" 200 21516 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/symbols/linux_guest.svg/raw HTTP/1.1" 200 18842 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/symbols/juniper-vqfx.svg/raw HTTP/1.1" 200 18842 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/symbols/:/symbols/router.svg/raw HTTP/1.1" 200 11036 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/symbols/firefox.svg/raw HTTP/1.1" 200 18842 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/symbols/:/symbols/guest.svg/raw HTTP/1.1" 200 18842 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/symbols/mgmt_station.svg/raw HTTP/1.1" 200 18842 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/symbols/:/symbols/asa.svg/raw HTTP/1.1" 200 18811 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/symbols/:/symbols/firewall.svg/raw HTTP/1.1" 200 9625 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/symbols/:/symbols/wlan_controller.svg/raw HTTP/1.1" 200 261469 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/symbols/vRIN.svg/raw HTTP/1.1" 200 18842 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/symbols/cisco-fmcv.svg/raw HTTP/1.1" 200 18842 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/symbols/loadbalancer.svg/raw HTTP/1.1" 200 18842 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/symbols/pan-vm-fw.svg/raw HTTP/1.1" 200 18842 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:26 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:26 +0000] "GET /v2/symbols/:/symbols/router_firewall.svg/raw HTTP/1.1" 200 50060 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:27 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:27 +0000] "GET /v2/symbols/ostinato-3d-icon.svg/raw HTTP/1.1" 200 18842 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:27 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:27 +0000] "GET /v2/symbols/microsoft.svg/raw HTTP/1.1" 200 18842 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:27 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:27 +0000] "GET /v2/symbols/securityonion-logo.png/raw HTTP/1.1" 200 18842 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:27 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:27 +0000] "GET /v2/symbols/juniper-vmx.svg/raw HTTP/1.1" 200 18842 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:27 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:27 +0000] "GET /v2/symbols/:/symbols/cloud.svg/raw HTTP/1.1" 200 27981 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:27 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:27 +0000] "GET /v2/symbols/:/symbols/ids.svg/raw HTTP/1.1" 200 13372 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:27 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:27 +0000] "GET /v2/symbols/mgmt_station_docker.svg/raw HTTP/1.1" 200 18842 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:27 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:27 +0000] "GET /v2/symbols/cisco-ise.svg/raw HTTP/1.1" 200 18842 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:27 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:27 +0000] "GET /v2/symbols/:/symbols/ethernet_switch.svg/raw HTTP/1.1" 200 9272 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:27 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:27 +0000] "GET /v2/symbols/:/symbols/frame_relay_switch.svg/raw HTTP/1.1" 200 10026 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:27 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:27 +0000] "GET /v2/symbols/:/symbols/hub.svg/raw HTTP/1.1" 200 7635 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:27 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:27 +0000] "GET /v2/symbols/:/symbols/atm_switch.svg/raw HTTP/1.1" 200 9958 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:27 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:27 +0000] "GET /v2/symbols/:/symbols/vpcs_guest.svg/raw HTTP/1.1" 200 19494 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:28 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:28 +0000] "GET /v2/computes HTTP/1.1" 200 559 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:28 INFO compute.py:409 Connecting to compute 'local'
2018-06-25 08:36:28 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:28 +0000] "GET /v2/compute/capabilities HTTP/1.1" 200 550 "-" "Python/3.5 aiohttp/2.3.10"
2018-06-25 08:36:29 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:29 +0000] "GET /v2/version HTTP/1.1" 200 225 "-" "Python-urllib/3.5"
2018-06-25 08:36:29 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:29 +0000] "POST /v2/settings HTTP/1.1" 201 1471 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:29 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:29 +0000] "GET /v2/appliances/templates HTTP/1.1" 200 508050 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:29 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:29 +0000] "GET /v2/appliances HTTP/1.1" 200 2557 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:29 INFO __init__.py:65 Load controller configuration file /home/dsiun/.config/GNS3/gns3_controller.conf
2018-06-25 08:36:29 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:29 +0000] "PUT /v2/gns3vm HTTP/1.1" 201 333 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:30 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:30 +0000] "GET /v2/computes HTTP/1.1" 200 997 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:32 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:32 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:34 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:34 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:36 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:36 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:38 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:38 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:40 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:40 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:42 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:42 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:44 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:44 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:46 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:46 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:47 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:47 +0000] "GET /v2/projects HTTP/1.1" 200 182 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:48 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:48 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:50 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:50 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:52 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:52 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:54 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:54 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:56 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:56 +0000] "POST /v2/settings HTTP/1.1" 201 1471 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:56 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:56 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:58 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:58 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:36:58 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:36:58 +0000] "POST /v2/settings HTTP/1.1" 201 1471 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:00 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:00 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:01 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:01 +0000] "GET /v2/symbols HTTP/1.1" 200 5474 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:01 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:01 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:03 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:03 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:04 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:04 +0000] "GET /v2/compute/dynamips/images HTTP/1.1" 200 197 "-" "Python/3.5 aiohttp/2.3.10"
2018-06-25 08:37:04 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:04 +0000] "GET /v2/computes/local/dynamips/images HTTP/1.1" 200 213 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:05 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:05 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:07 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:07 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:09 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:09 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:11 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:11 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:13 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:13 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:15 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:15 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:17 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:17 +0000] "GET /v2/symbols HTTP/1.1" 200 5474 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:17 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:17 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:19 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:19 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:21 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:21 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:21 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:21 +0000] "GET /v2/compute/qemu/images HTTP/1.1" 200 193 "-" "Python/3.5 aiohttp/2.3.10"
2018-06-25 08:37:21 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:21 +0000] "GET /v2/computes/local/qemu/images HTTP/1.1" 200 213 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:23 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:23 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:25 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:25 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:27 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:27 +0000] "GET /v2/computes HTTP/1.1" 200 996 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:29 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:29 +0000] "GET /v2/computes HTTP/1.1" 200 997 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:31 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:31 +0000] "GET /v2/computes HTTP/1.1" 200 997 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:33 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:33 +0000] "GET /v2/computes HTTP/1.1" 200 997 "-" "GNS3 QT Client v2.1.8"
2018-06-25 08:37:35 INFO helpers.py:534 127.0.0.1 [25/Jun/2018:06:37:35 +0000] "GET /v2/computes HTTP/1.1" 200 997 "-" "GNS3 QT Client v2.1.8"
